127.0.0.1, 2015-12-02 14:20:36, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.166000
127.0.0.1, 2015-12-02 14:20:36, GET, /admin/static/_2.12.3/images/save_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:56, GET, /admin/default/design/tidetest, HTTP/1.1, 200, 0.184000
127.0.0.1, 2015-12-02 14:20:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-12-02 14:20:58, GET, /admin/default/edit/tidetest/models/menu.py, HTTP/1.1, 200, 0.054000
127.0.0.1, 2015-12-02 14:20:58, GET, /favicon.ico, HTTP/1.1, 400, 0.005000
127.0.0.1, 2015-12-02 14:20:59, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.295000
127.0.0.1, 2015-12-02 14:20:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.305000
127.0.0.1, 2015-12-02 14:20:59, GET, /admin/default/edit/tidetest/models/menu.py, HTTP/1.1, 200, 0.322000
127.0.0.1, 2015-12-02 14:20:59, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.368000
127.0.0.1, 2015-12-02 14:20:59, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-12-02 14:21:01, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 2.513000
127.0.0.1, 2015-12-02 14:21:06, GET, /admin/default/design/tidetest, HTTP/1.1, 200, 0.165000
127.0.0.1, 2015-12-02 14:21:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-12-02 14:21:10, GET, /admin/default/peek/tidetest/models/db.py, HTTP/1.1, 200, 0.070000
127.0.0.1, 2015-12-02 14:21:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-12-02 14:21:27, GET, /admin/default/design/tidetest, HTTP/1.1, 200, 0.182000
127.0.0.1, 2015-12-02 14:21:28, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-12-02 14:21:59, GET, /admin/default/peek/tidetest/models/db.py, HTTP/1.1, 200, 0.054000
127.0.0.1, 2015-12-02 14:21:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-12-02 14:22:10, GET, /admin/default/edit/tidetest/models/db.py, HTTP/1.1, 200, 0.053000
127.0.0.1, 2015-12-02 14:22:10, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2015-12-02 14:22:10, GET, /admin/default/edit/tidetest/models/db.py, HTTP/1.1, 200, 0.095000
127.0.0.1, 2015-12-02 14:22:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.148000
127.0.0.1, 2015-12-02 14:22:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.155000
127.0.0.1, 2015-12-02 14:22:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.245000
127.0.0.1, 2015-12-02 14:22:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.574000
127.0.0.1, 2015-12-02 14:22:13, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 2.629000
127.0.0.1, 2015-12-02 14:22:32, POST, /admin/default/edit/tidetest/models/db.py, HTTP/1.1, 200, 0.333000
127.0.0.1, 2015-12-02 14:23:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039000
127.0.0.1, 2015-12-02 14:23:12, GET, /tidetest/appadmin/hooks, HTTP/1.1, 500, 2.098000
127.0.0.1, 2015-12-02 14:23:17, POST, /admin/default/edit/tidetest/models/db.py, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-12-02 14:24:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.040000
127.0.0.1, 2015-12-02 14:24:11, GET, /tidetest/appadmin/hooks, HTTP/1.1, 500, 1.339000
127.0.0.1, 2015-12-02 14:24:24, POST, /admin/default/edit/tidetest/models/db.py, HTTP/1.1, 200, 0.073000
127.0.0.1, 2015-12-02 14:25:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047000
127.0.0.1, 2015-12-02 14:25:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.370000
127.0.0.1, 2015-12-02 14:26:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077000
127.0.0.1, 2015-12-02 14:26:12, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 2.296000
127.0.0.1, 2015-12-02 14:27:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060000
127.0.0.1, 2015-12-02 14:27:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.263000
127.0.0.1, 2015-12-02 14:28:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070000
127.0.0.1, 2015-12-02 14:28:12, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 1.955000
127.0.0.1, 2015-12-02 14:29:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075000
127.0.0.1, 2015-12-02 14:29:12, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 2.020000
127.0.0.1, 2015-12-02 14:30:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060000
127.0.0.1, 2015-12-02 14:30:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.257000
127.0.0.1, 2015-12-02 14:31:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2015-12-02 14:31:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.257000
127.0.0.1, 2015-12-02 14:32:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070000
127.0.0.1, 2015-12-02 14:32:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.275000
127.0.0.1, 2015-12-02 14:33:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050000
127.0.0.1, 2015-12-02 14:33:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.285000
127.0.0.1, 2015-12-02 14:34:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070000
127.0.0.1, 2015-12-02 14:34:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.265000
127.0.0.1, 2015-12-02 14:35:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070000
127.0.0.1, 2015-12-02 14:35:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.244000
127.0.0.1, 2015-12-02 14:36:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.090000
127.0.0.1, 2015-12-02 14:36:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.280000
127.0.0.1, 2015-12-02 14:37:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070000
127.0.0.1, 2015-12-02 14:37:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.256000
127.0.0.1, 2015-12-02 14:38:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.040000
127.0.0.1, 2015-12-02 14:38:12, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 1.915000
127.0.0.1, 2015-12-02 14:39:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2015-12-02 14:39:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.274000
127.0.0.1, 2015-12-02 14:40:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2015-12-02 14:40:12, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 1.951000
127.0.0.1, 2015-12-02 14:41:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050000
127.0.0.1, 2015-12-02 14:41:10, GET, /tidetest/appadmin/hooks, HTTP/1.1, 200, 0.251000
